,id_lot,nb_piece,prix_tva_normale,prix_HT,prix_m2_HT
231,105_1_Nature&Sens_Bouygues,5.0,424000.0,353333.33,3351.67
232,123_Nature&Sens_Bouygues,5.0,542000.0,451666.67,3672.09
233,123__1_Nature&Sens_Bouygues,5.0,548000.0,456666.67,3712.74
234,123__2_Nature&Sens_Bouygues,5.0,562000.0,468333.33,3807.59
235,123__3_Nature&Sens_Bouygues,5.0,566000.0,471666.67,3834.69
236,43_3_INTIMI'T_Bouygues,2.0,241058.0,200881.67,4582.15
237,57_1_INTIMI'T_Bouygues,3.0,315000.0,262500.0,4531.33
238,59_2_INTIMI'T_Bouygues,3.0,329530.0,274608.33,4646.5
239,59_3_INTIMI'T_Bouygues,3.0,334530.0,278775.0,4717.01
240,61_2_INTIMI'T_Bouygues,3.0,341391.0,284492.5,4627.4
241,69_INTIMI'T_Bouygues,3.0,358000.0,298333.33,4323.04
242,69_1_INTIMI'T_Bouygues,3.0,365000.0,304166.67,4407.57
243,73_INTIMI'T_Bouygues,3.0,378000.0,315000.0,4276.99
244,69_2_INTIMI'T_Bouygues,3.0,383918.0,319931.67,4636.02
245,69_3_INTIMI'T_Bouygues,3.0,383918.0,319931.67,4636.02
246,86_1_INTIMI'T_Bouygues,4.0,410000.0,341666.67,3958.14
247,86_2_INTIMI'T_Bouygues,4.0,426000.0,355000.0,4112.6
248,86_3_INTIMI'T_Bouygues,4.0,436000.0,363333.33,4209.14
249,44_2_XVI_Bouygues,2.0,334000.0,278333.33,6218.35
250,49_2_XVI_Bouygues,2.0,366000.0,305000.0,6124.5
251,55_2_XVI_Bouygues,2.0,408000.0,340000.0,6087.74
252,72_1_XVI_Bouygues,3.0,445000.0,370833.33,5131.22
253,81_1_XVI_Bouygues,4.0,516000.0,430000.0,5298.18
254,95_XVI_Bouygues,3.0,591000.0,492500.0,5170.06
255,95_2_XVI_Bouygues,4.0,619000.0,515833.33,5419.56
256,96_2_XVI_Bouygues,4.0,625000.0,520833.33,5418.57
257,99_2_XVI_Bouygues,4.0,662000.0,551666.67,5562.84
258,118_XVI_Bouygues,5.0,842000.0,701666.67,5917.24
259,80_#PurCottage_Bouygues,4.0,330000.0,275000.0,3395.48
260,84_#PurCottage_Bouygues,4.0,340000.0,283333.33,3343.96
261,85_#PurCottage_Bouygues,4.0,350000.0,291666.67,3426.94
262,85__1_#PurCottage_Bouygues,4.0,350000.0,291666.67,3412.1
263,94_#PurCottage_Bouygues,4.0,355000.0,295833.33,3123.24
264,78_SCENEDULEMAN_Bouygues,3.0,385000.0,320833.33,4098.54
265,78__1_SCENEDULEMAN_Bouygues,3.0,392000.0,326666.67,4173.05
266,78__2_SCENEDULEMAN_Bouygues,3.0,399000.0,332500.0,4247.57
267,78__3_SCENEDULEMAN_Bouygues,3.0,409000.0,340833.33,4354.03
268,87_SCENEDULEMAN_Bouygues,4.0,469000.0,390833.33,4448.87
269,87__1_SCENEDULEMAN_Bouygues,4.0,499000.0,415833.33,4733.45
270,41_TERRESDELAYA_Bouygues,2.0,193000.0,160833.33,3903.72
271,49_TERRESDELAYA_Bouygues,2.0,228000.0,190000.0,3815.26
272,48_6_TERRESDELAYA_Bouygues,2.0,263000.0,219166.67,4565.97
273,69_TERRESDELAYA_Bouygues,3.0,293000.0,244166.67,3495.59
274,69_1_TERRESDELAYA_Bouygues,3.0,293000.0,244166.67,3495.59
275,65_2_TERRESDELAYA_Bouygues,3.0,293000.0,244166.67,3705.11
276,66_TERRESDELAYA_Bouygues,3.0,295000.0,245833.33,3705.1
277,69_1__1_TERRESDELAYA_Bouygues,3.0,307000.0,255833.33,3678.41
278,65_5_TERRESDELAYA_Bouygues,3.0,309000.0,257500.0,3907.44
279,69_2_TERRESDELAYA_Bouygues,3.0,314000.0,261666.67,3792.27
280,70_2_TERRESDELAYA_Bouygues,3.0,318000.0,265000.0,3753.54
281,68_1_TERRESDELAYA_Bouygues,3.0,320000.0,266666.67,3887.27
282,69_3_TERRESDELAYA_Bouygues,3.0,322000.0,268333.33,3858.14
283,70_3_TERRESDELAYA_Bouygues,3.0,326000.0,271666.67,3847.97
284,69_4_TERRESDELAYA_Bouygues,3.0,330000.0,275000.0,3953.99
285,69_3__1_TERRESDELAYA_Bouygues,3.0,,,
286,70_5_TERRESDELAYA_Bouygues,3.0,341000.0,284166.67,4025.02
287,69_4__1_TERRESDELAYA_Bouygues,3.0,344000.0,286666.67,4148.58
288,69_4__2_TERRESDELAYA_Bouygues,3.0,345000.0,287500.0,4115.96
289,68_6_TERRESDELAYA_Bouygues,3.0,348000.0,290000.0,4218.18
290,70_6_TERRESDELAYA_Bouygues,3.0,348000.0,290000.0,4107.65
291,69_5_TERRESDELAYA_Bouygues,3.0,366000.0,305000.0,4413.89
292,48_COLL'LODGES_Bouygues,2.0,270000.0,225000.0,4623.92
293,48__1_COLL'LODGES_Bouygues,2.0,297000.0,247500.0,5071.72
294,47_COLL'LODGES_Bouygues,2.0,311000.0,259166.67,5400.43
295,60_1_COLL'LODGES_Bouygues,3.0,337000.0,280833.33,4663.46
296,65_COLL'LODGES_Bouygues,3.0,383000.0,319166.67,4860.9
297,65__1_COLL'LODGES_Bouygues,3.0,398000.0,331666.67,5066.71
298,94_1_COLL'LODGES_Bouygues,4.0,479000.0,399166.67,4216.85
299,88_COLL'LODGES_Bouygues,4.0,484000.0,403333.33,4580.21
300,102_1_COLL'LODGES_Bouygues,4.0,523000.0,435833.33,4235.92
301,89_1_COLL'LODGES_Bouygues,4.0,546000.0,455000.0,5106.62
302,86_1_COLL'LODGES_Bouygues,4.0,553000.0,460833.33,5353.55
303,99_1_COLL'LODGES_Bouygues,4.0,559000.0,465833.33,4663.0
304,90_1_COLL'LODGES_Bouygues,4.0,579000.0,482500.0,5347.45
305,94_1__1_COLL'LODGES_Bouygues,4.0,586000.0,488333.33,5156.63
306,95_1_COLL'LODGES_Bouygues,4.0,589000.0,490833.33,5127.8
307,101_1_COLL'LODGES_Bouygues,4.0,624000.0,520000.0,5130.23
308,102_1__1_COLL'LODGES_Bouygues,4.0,649000.0,540833.33,5287.77
309,43_2_Le21_Bouygues,2.0,307000.0,255833.33,5867.74
310,43_3_Le21_Bouygues,2.0,325000.0,270833.33,6211.77
311,42_4_Le21_Bouygues,2.0,344000.0,286666.67,6740.34
312,67_1_Le21_Bouygues,3.0,453000.0,377500.0,5611.71
313,62_1_Le21_Bouygues,3.0,460000.0,383333.33,6104.03
314,62_2_Le21_Bouygues,3.0,465000.0,387500.0,6170.38
315,67_2_Le21_Bouygues,3.0,483000.0,402500.0,5983.35
316,62_3_Le21_Bouygues,3.0,489000.0,407500.0,6488.85
317,67_3_Le21_Bouygues,3.0,504000.0,420000.0,6243.5
318,85_4_Le21_Bouygues,4.0,725000.0,604166.67,7081.18
319,98_Le21_Bouygues,4.0,895000.0,745833.33,7596.59
320,110_5_Le21_Bouygues,4.0,1150000.0,958333.33,8642.98
321,57_2_PLEINCOEUR_Bouygues,3.0,187305.78199052133,156088.15,2738.39
322,63_5_PLEINCOEUR_Bouygues,3.0,197755.4502369668,164796.21,2595.22
323,83_1_PLEINCOEUR_Bouygues,4.0,224236.20853080568,186863.51,2237.89
324,83_2_PLEINCOEUR_Bouygues,4.0,224236.20853080568,186863.51,2237.89
325,78_5_PLEINCOEUR_Bouygues,4.0,226236.96682464457,188530.81,2417.06
326,83_3_PLEINCOEUR_Bouygues,4.0,228236.58767772515,190197.16,2277.81
327,84_2_PLEINCOEUR_Bouygues,4.0,229236.39810426545,191030.33,2260.71
328,83_4_PLEINCOEUR_Bouygues,4.0,229236.39810426545,191030.33,2287.79
329,83_5_PLEINCOEUR_Bouygues,4.0,229255.7345971564,191046.45,2287.98
330,98_4_PLEINCOEUR_Bouygues,5.0,252255.9241706161,210213.27,2134.14
331,98_5_PLEINCOEUR_Bouygues,5.0,270354.8815165877,225295.73,2287.27
332,36_2_SOLSTICES_Bouygues,2.0,144000.0,120000.0,3303.06
333,42_2_SOLSTICES_Bouygues,2.0,155000.0,129166.67,3053.59
334,42_1_SOLSTICES_Bouygues,2.0,159000.0,132500.0,3132.39
335,37_1_SOLSTICES_Bouygues,2.0,159000.0,132500.0,3533.33
336,37_1__1_SOLSTICES_Bouygues,2.0,159000.0,132500.0,3528.63
337,44_1_SOLSTICES_Bouygues,2.0,164000.0,136666.67,3092.01
338,44_2_SOLSTICES_Bouygues,2.0,168000.0,140000.0,3167.42
339,42_2__1_SOLSTICES_Bouygues,2.0,168000.0,140000.0,3309.69
340,42_2__2_SOLSTICES_Bouygues,2.0,168000.0,140000.0,3309.69
341,40_1_SOLSTICES_Bouygues,2.0,171000.0,142500.0,3540.37
342,40_2_SOLSTICES_Bouygues,2.0,171000.0,142500.0,3540.37
